side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
left,combo,0,combo,-10.012290000915527,-4.834578514099121,0.59894859790802,0.0509541817009449
left,combo,0,combo,-9.965243339538574,-4.776703357696533,0.6493739485740662,0.11409895122051239
left,combo,0,combo,-10.097041130065918,-4.82937479019165,0.6403131484985352,0.14171063899993896
left,combo,0,combo,-9.999402046203613,-4.770670413970947,0.6561161279678345,0.12444578856229782
left,combo,0,combo,-10.07303237915039,-4.781318664550781,0.6902763843536377,0.17167964577674866
left,combo,0,combo,-10.046732902526855,-4.8386054039001465,0.6023167371749878,0.07890205830335617
left,combo,0,combo,-10.004344940185547,-4.853421688079834,0.5905781984329224,0.034271180629730225
left,combo,0,combo,-10.044121742248535,-4.798426151275635,0.6261165142059326,0.10547083616256714
left,combo,0,combo,-10.041037559509277,-4.854999542236328,0.5944846272468567,0.06830959022045135
left,combo,0,combo,-10.12092113494873,-4.869804382324219,0.6380332708358765,0.15938061475753784
left,combo,0,combo,-9.927144050598145,-4.842914581298828,0.625774621963501,0.07660095393657684
left,combo,0,combo,-9.981779098510742,-4.7986860275268555,0.6290104389190674,0.08362013101577759
left,combo,0,combo,-10.022126197814941,-4.815899848937988,0.6081721782684326,0.07218886911869049
left,combo,0,combo,-10.046329498291016,-4.829419136047363,0.6066378951072693,0.08308230340480804
left,combo,0,combo,-10.083255767822266,-4.789306163787842,0.6636809706687927,0.15710097551345825
left,combo,0,combo,-10.093043327331543,-4.792314052581787,0.6840076446533203,0.17514289915561676
left,combo,0,combo,-10.02947998046875,-4.839000701904297,0.5976853966712952,0.061934828758239746
left,combo,0,combo,-10.076071739196777,-4.800759315490723,0.6477681994438171,0.13800163567066193
left,combo,0,combo,-10.051833152770996,-4.778226852416992,0.6622936129570007,0.14280134439468384
left,combo,0,combo,-10.052722930908203,-4.820021629333496,0.6160905361175537,0.09606429934501648
left,combo,0,combo,-10.003242492675781,-4.788455486297607,0.6307467222213745,0.09571166336536407
left,combo,0,combo,-9.981334686279297,-4.783056259155273,0.6424726843833923,0.1041593924164772
left,combo,0,combo,-10.09184455871582,-4.845564365386963,0.6247490048408508,0.12752138078212738
left,combo,0,combo,-10.068585395812988,-4.78357458114624,0.669737696647644,0.1542033702135086
left,combo,0,combo,-10.08738899230957,-4.819853782653809,0.6404234766960144,0.13604795932769775
left,combo,0,combo,-9.945560455322266,-4.848245620727539,0.608535647392273,0.0509619377553463
left,combo,0,combo,-10.046844482421875,-4.8057684898376465,0.6271744966506958,0.10392249375581741
left,combo,0,combo,-9.950054168701172,-4.825000762939453,0.6197180151939392,0.06555565446615219
left,combo,0,combo,-9.973626136779785,-4.780628204345703,0.6502013802528381,0.11134601384401321
left,combo,0,combo,-9.942517280578613,-4.838470458984375,0.6134079098701477,0.05898738279938698
left,combo,0,combo,-10.093381881713867,-4.8295793533325195,0.6475687623023987,0.14241927862167358
left,combo,0,combo,-10.038545608520508,-4.779239177703857,0.6434347629547119,0.12369003891944885
left,combo,0,combo,-10.091205596923828,-4.8170671463012695,0.6459872722625732,0.14282108843326569
left,combo,0,combo,-10.058955192565918,-4.793065071105957,0.6446850299835205,0.12814845144748688
left,combo,0,combo,-10.038393020629883,-4.786841869354248,0.637981116771698,0.1156449094414711
left,combo,0,combo,-10.091062545776367,-4.7996954917907715,0.6809787154197693,0.16920050978660583
left,combo,0,combo,-10.118792533874512,-4.86163854598999,0.6443343758583069,0.15988194942474365
left,combo,0,combo,-9.98094367980957,-4.783740043640137,0.6340734362602234,0.09795548021793365
left,combo,0,combo,-9.942933082580566,-4.831835746765137,0.617834746837616,0.06445169448852539
left,combo,0,combo,-9.944079399108887,-4.8079833984375,0.633935809135437,0.08763355761766434
left,combo,0,combo,-10.052974700927734,-4.772220611572266,0.6689897775650024,0.15111637115478516
left,combo,0,combo,-10.018515586853027,-4.791980743408203,0.6288193464279175,0.09735386818647385
left,combo,0,combo,-10.035396575927734,-4.798251152038574,0.622046172618866,0.09805504232645035
left,combo,0,combo,-10.080304145812988,-4.786683082580566,0.6834540367126465,0.16891248524188995
left,combo,0,combo,-10.042019844055176,-4.780773639678955,0.6537306308746338,0.13084131479263306
left,combo,0,combo,-10.016541481018066,-4.782168865203857,0.641857922077179,0.11140632629394531
left,combo,0,combo,-10.102477073669434,-4.8137311935424805,0.6643171310424805,0.16278767585754395
left,combo,0,combo,-10.051711082458496,-4.859365463256836,0.5953143835067749,0.07859282940626144
