side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
right,combo,0,combo,-10.068140983581543,-5.227628231048584,0.645397424697876,0.5925877094268799
right,combo,0,combo,-10.018890380859375,-5.213354587554932,0.6088020205497742,0.5435440540313721
right,combo,0,combo,-10.084122657775879,-5.168944358825684,0.6069778800010681,0.5919190645217896
right,combo,0,combo,-10.08023738861084,-5.219710826873779,0.6445280909538269,0.6005932092666626
right,combo,0,combo,-9.971189498901367,-5.162967205047607,0.58359295129776,0.5233262777328491
right,combo,0,combo,-10.076967239379883,-5.1978254318237305,0.6255632042884827,0.5912805199623108
right,combo,0,combo,-10.065807342529297,-5.219282627105713,0.6407071948051453,0.5902112126350403
right,combo,0,combo,-10.000788688659668,-5.158769607543945,0.5798166990280151,0.5347136855125427
right,combo,0,combo,-9.982516288757324,-5.202217102050781,0.5998106002807617,0.5242598652839661
right,combo,0,combo,-10.009109497070312,-5.231836318969727,0.6240742206573486,0.5453892946243286
right,combo,0,combo,-10.078510284423828,-5.167647361755371,0.6009652614593506,0.5849758386611938
right,combo,0,combo,-10.085893630981445,-5.160031795501709,0.6019966006278992,0.59284907579422
right,combo,0,combo,-10.025154113769531,-5.219437122344971,0.6107733249664307,0.5459815859794617
right,combo,0,combo,-10.009516716003418,-5.222056865692139,0.6150163412094116,0.5412836074829102
right,combo,0,combo,-9.974656105041504,-5.1473388671875,0.5821126699447632,0.5309745073318481
right,combo,0,combo,-10.091215133666992,-5.177135467529297,0.6229364275932312,0.6044606566429138
right,combo,0,combo,-9.982405662536621,-5.208307266235352,0.6004146933555603,0.5223740339279175
right,combo,0,combo,-9.96198558807373,-5.171535491943359,0.5900710821151733,0.5210318565368652
right,combo,0,combo,-10.01654052734375,-5.151444435119629,0.5779507160186768,0.5438343286514282
right,combo,0,combo,-10.027373313903809,-5.153232097625732,0.582068681716919,0.551190972328186
right,combo,0,combo,-9.977923393249512,-5.185672760009766,0.5972216129302979,0.5269377827644348
right,combo,0,combo,-9.939846992492676,-5.205389022827148,0.6271593570709229,0.5301973223686218
right,combo,0,combo,-10.078508377075195,-5.207503795623779,0.6252322793006897,0.5885042548179626
